review_id,user_name,rating,review_text,date
6f7bf824-5483-4290-84c7-da77bbbcf743,Pengguna Google,1,"aplikasi belum layak hadir harusnya di benerin dulu tolong, yang saya keluhkan setiap login terlalu susah padahal nik dan password sudah benar dan ketika lupa sandi pun terlalu lama mengirimkan kode otp. TOLONG",2025-12-15 23:39:05
b3e2b1b9-3bb7-4793-bbae-9a10939b172e,Pengguna Google,5,sungguh membantu,2025-12-15 22:57:13
5bb056f0-1126-4a68-b6aa-dd905545292a,Pengguna Google,2,Permintaan anda Belum dapat di proses terus,2025-12-15 21:50:09
60b35a23-8521-4aa8-bd88-c0cc8eae636a,Pengguna Google,1,"Tolong Aplikasinya DIBENAHI !!! ambil antrian saja loding terus, sy menunggu sampai 5 jam masih tetap begitu padahal WIFI stabil.... ini aplikasi untuk orang sakit ... jangan dibuat susah, cuman karena aplikasi yg tidak berguna. kita kerumah sakit berangkat pagi pulang malam karena tidak dapat nomer antri. harusnya dengan adanya aplikasi ini bisa lebih mudah.",2025-12-15 20:59:32
5a8b3cdb-233a-43d2-a3ab-405f31e2d378,Pengguna Google,5,sekarang sering eror,2025-12-15 20:55:05
665650c3-ebe1-4dac-98e6-463afdaa7c95,Pengguna Google,4,sangat memudahkan,2025-12-15 19:51:55
8f9b633a-d496-4fc5-bbc7-276cabdc05d3,Pengguna Google,1,"udah masuk tapi masuk ke info akses menunya tidak masuk-masuk selalu loading mulu,apa lagi mau daftar dan mau ambil antrian nungguin sampai lama banget kagak masuk-masuk ke menu dan sampai kelewat jadwal tanggal periksa. Internetnya pake jaringan wifi kagak masuk-masuk pake jaringan data kuota kagak masuk-masuk,,kalau aplikasinya kagak bener kagak bagus dan jelek kayak gini terus mendingan hapus hilangkan saja aplikasi ini dari internet dan play store 😠😠",2025-12-15 19:17:15
502a8f7e-1322-4bc5-9121-71828f30e777,Pengguna Google,1,aplikasi nggk pernah di rawat,2025-12-15 18:05:12
a5211aec-5924-4362-ad88-2f8c20ba302a,Pengguna Google,3,"tolong dnk diperbaiki masa saat update akunnya keluar saat mau masuk ke apk jln sih???, jdi kecewa saya",2025-12-15 17:52:18
f6dba827-5e09-47df-a97c-02f399dcc741,Pengguna Google,1,"knpa harus masukan kode referral juga,",2025-12-15 17:31:45
ac53af2c-5a0f-4a21-8f65-e7b49e872ad3,Pengguna Google,5,semakin baik,2025-12-15 17:26:26
290971be-ba2a-491d-af2f-4cbc32bae5bf,Pengguna Google,1,apk sampah yang mempersulit pengobatan,2025-12-15 17:12:29
